NM,방문수,만족,재방문의향,유형
제주동문시장,655,4.201526717557252,4.08854961832061,과대평가(붐빔+불만)
함덕해수욕장,623,4.573033707865169,4.513643659711075,대표명소(붐빔+만족)
협재해수욕장,501,4.522954091816367,4.491017964071856,대표명소(붐빔+만족)
서귀포매일올레시장,470,4.219148936170213,4.123404255319149,과대평가(붐빔+불만)
성산일출봉,455,4.525274725274725,4.371428571428571,대표명소(붐빔+만족)
전주한옥마을,374,4.390374331550802,4.2727272727272725,대표명소(붐빔+만족)
광안리해수욕장,327,4.6452599388379205,4.599388379204893,대표명소(붐빔+만족)
성심당 본점,320,4.51875,4.63125,대표명소(붐빔+만족)
첨성대,316,4.405063291139241,4.329113924050633,대표명소(붐빔+만족)
서귀포 매일 올레시장,302,4.301324503311259,4.152317880794702,과대평가(붐빔+불만)
속초관광수산시장,283,4.130742049469965,4.056537102473499,과대평가(붐빔+불만)
제주동문재래시장,277,4.274368231046932,4.20216606498195,과대평가(붐빔+불만)
곽지해수욕장,272,4.419117647058823,4.268382352941177,대표명소(붐빔+만족)
해운대해수욕장,268,4.522388059701493,4.526119402985074,대표명소(붐빔+만족)
대릉원,260,4.4423076923076925,4.196153846153846,대표명소(붐빔+만족)
섭지코지,258,4.4147286821705425,4.228682170542636,대표명소(붐빔+만족)
금오름,255,4.4941176470588236,4.313725490196078,대표명소(붐빔+만족)
우진해장국,248,4.330645161290323,4.129032258064516,과대평가(붐빔+불만)
천지연폭포,241,4.406639004149378,4.08298755186722,대표명소(붐빔+만족)
스누피가든,228,4.662280701754386,4.3201754385964914,대표명소(붐빔+만족)
김녕해수욕장,227,4.5506607929515415,4.466960352422907,대표명소(붐빔+만족)
한밭수목원,221,4.452488687782806,4.321266968325792,대표명소(붐빔+만족)
새별오름,221,4.461538461538462,4.199095022624435,대표명소(붐빔+만족)
금능해수욕장,221,4.5610859728506785,4.524886877828054,대표명소(붐빔+만족)
이호테우해수욕장,214,4.355140186915888,4.126168224299065,대표명소(붐빔+만족)
우도,214,4.579439252336448,4.4485981308411215,대표명소(붐빔+만족)
이순신광장,212,4.122641509433962,3.9764150943396226,과대평가(붐빔+불만)
속초해수욕장,208,4.389423076923077,4.302884615384615,대표명소(붐빔+만족)
강문해변,197,4.441624365482234,4.355329949238579,대표명소(붐빔+만족)
경기전,196,4.357142857142857,4.142857142857143,대표명소(붐빔+만족)
화성행궁,192,4.28125,4.020833333333333,과대평가(붐빔+불만)
단양구경시장,191,4.277486910994765,4.183246073298429,과대평가(붐빔+불만)
비자림,190,4.368421052631579,4.073684210526316,대표명소(붐빔+만족)
용머리해안,185,4.124324324324324,4.081081081081081,과대평가(붐빔+불만)
오설록티뮤지엄,185,4.059459459459459,3.881081081081081,과대평가(붐빔+불만)
사계해변,179,4.29608938547486,4.055865921787709,과대평가(붐빔+불만)
용두암,171,4.128654970760234,3.8771929824561404,과대평가(붐빔+불만)
정방폭포,166,4.403614457831325,4.13855421686747,대표명소(붐빔+만족)
황리단길,164,4.310975609756097,4.213414634146342,과대평가(붐빔+불만)
에버랜드,163,4.4969325153374236,4.484662576687117,대표명소(붐빔+만족)
월정교,161,4.565217391304348,4.434782608695652,대표명소(붐빔+만족)
카멜리아힐,153,4.379084967320262,4.143790849673203,대표명소(붐빔+만족)
9.81파크,151,4.52317880794702,4.28476821192053,대표명소(붐빔+만족)
중문색달해수욕장,149,4.275167785234899,4.087248322147651,과대평가(붐빔+불만)
불국사,148,4.4391891891891895,4.243243243243243,대표명소(붐빔+만족)
황련단길,147,4.340136054421769,4.244897959183674,과대평가(붐빔+불만)
오설록 티 뮤지엄,146,4.404109589041096,4.198630136986301,대표명소(붐빔+만족)
쇠소깍,146,4.239726027397261,3.993150684931507,과대평가(붐빔+불만)
경복궁,145,4.468965517241379,4.344827586206897,대표명소(붐빔+만족)
세화해변,144,4.548611111111111,4.354166666666667,대표명소(붐빔+만족)
대천해수욕장,144,4.569444444444445,4.486111111111111,대표명소(붐빔+만족)
오동도,142,4.352112676056338,4.070422535211268,대표명소(붐빔+만족)
경포해수욕장,135,4.511111111111111,4.45925925925926,대표명소(붐빔+만족)
전동성당,133,4.150375939849624,4.037593984962406,과대평가(붐빔+불만)
공산성,132,4.409090909090909,4.257575757575758,대표명소(붐빔+만족)
이성당 본점,130,4.253846153846154,4.084615384615384,과대평가(붐빔+불만)
사려니숲길,128,4.515625,4.3828125,대표명소(붐빔+만족)
동궁과월지,125,4.264,4.264,과대평가(붐빔+불만)
죽녹원,125,4.576,4.336,대표명소(붐빔+만족)
산굼부리,121,4.537190082644628,4.396694214876033,대표명소(붐빔+만족)
검멀레해변,118,4.406779661016949,4.271186440677966,대표명소(붐빔+만족)
강릉중앙시장,117,4.111111111111111,4.068376068376068,과대평가(붐빔+불만)
