계절,지역,KTCI,방문객(백만),다양성,소비강도,외지인비중,매력
봄,대구 군위군,83.9,1.0,58.20666666666667,89.04,104.34333333333332,2.91
봄,부산 중구,84.4,4.73,70.32,73.75,115.23666666666666,2.7
봄,부산 동구,84.4,4.83,70.53,73.01,106.97666666666667,2.04
봄,충북 청주시 서원구,83.8,4.7,69.81,80.11,94.27,1.89
봄,경기 의왕시,85.8,4.75,69.65666666666667,80.00333333333333,90.17666666666666,1.57
봄,경북 칠곡군,83.5,3.49,65.77333333333333,81.46333333333332,89.20666666666666,1.43
봄,부산 연제구,84.4,4.94,71.63333333333334,75.54666666666667,88.50999999999999,1.07
봄,대전 대덕구,83.7,4.77,69.94,76.80666666666667,83.36666666666667,0.74
봄,광주 동구,83.8,5.14,72.18666666666667,70.04666666666667,91.41000000000001,0.69
봄,경기 양평군,83.5,5.08,72.63000000000001,73.38,81.2,0.36
봄,대구 서구,83.9,3.73,67.07333333333332,75.40333333333334,82.15666666666667,0.32
봄,대구 남구,83.9,4.35,69.77,71.05333333333334,86.45,0.3
여름,경기 가평군,81.2,4.3,68.21666666666667,80.91000000000001,104.17333333333333,2.55
여름,강원 홍천군,77.9,3.71,66.7,81.43666666666667,99.23333333333333,2.18
여름,경기 여주시,81.7,4.75,70.26,91.56666666666666,74.30666666666667,1.87
여름,강원 속초시,83.4,5.07,71.04333333333334,83.68333333333334,86.54666666666667,1.82
여름,강원 평창군,80.6,2.9,64.23,79.18333333333334,99.81333333333333,1.8
여름,강원 양양군,80.3,2.69,63.51,75.72333333333334,101.88,1.49
여름,강원 고성군,78.8,2.21,61.72333333333333,75.76666666666667,103.24666666666667,1.48
여름,경기 의왕시,84.6,4.94,70.29333333333334,78.92666666666666,89.93333333333334,1.44
여름,경북 칠곡군,80.7,3.67,66.31333333333333,81.28333333333335,88.06,1.36
여름,충남 공주시,80.8,4.04,68.12333333333333,77.93666666666667,91.29333333333334,1.29
여름,강원 횡성군,82.6,2.06,61.673333333333325,80.72,90.14,1.16
여름,전북 완주군,80.2,3.64,66.33,74.37333333333333,97.035,1.15
가을,대구 군위군,84.0,1.13,58.623333333333335,87.83333333333333,106.46999999999998,2.97
가을,경기 여주시,84.9,5.01,71.25666666666666,97.38333333333333,77.52333333333333,2.76
가을,경기 가평군,86.1,3.77,66.79,79.72,96.38666666666666,1.78
가을,충남 공주시,84.2,4.14,68.51,78.47333333333334,92.46666666666665,1.45
가을,경기 의왕시,85.3,4.98,70.49666666666667,80.08666666666666,88.0,1.44
가을,경북 칠곡군,86.1,3.79,66.74666666666667,80.84333333333333,88.95666666666666,1.37
가을,경기 포천시,84.6,5.41,72.02666666666666,81.97333333333334,79.31666666666666,1.13
가을,전남 함평군,84.3,0.99,58.163333333333334,79.68666666666667,93.68,1.07
가을,충북 괴산군,83.9,1.75,60.69333333333333,74.25999999999999,99.37333333333333,0.99
가을,전북 완주군,84.8,3.63,66.35000000000001,74.51666666666667,94.14,0.98
가을,충북 단양군,85.1,1.51,59.95333333333334,74.91000000000001,98.14,0.94
가을,전남 담양군,84.5,2.37,62.803333333333335,72.60666666666667,98.27333333333333,0.84
겨울,부산 중구,79.4,4.66,70.31666666666666,74.73,115.11333333333334,3.15
겨울,대구 군위군,78.9,0.86,57.666666666666664,91.34666666666668,98.96,3.04
겨울,부산 동구,79.4,4.69,70.21666666666667,72.96333333333332,107.78666666666668,2.42
겨울,충북 청주시 서원구,78.2,4.34,68.40333333333334,80.17333333333333,92.77,2.03
겨울,경기 의왕시,78.9,4.41,68.46666666666667,79.24,86.73,1.5
겨울,부산 연제구,79.4,4.83,71.20333333333333,75.84333333333333,88.43666666666667,1.42
겨울,전남 함평군,78.3,0.77,57.379999999999995,80.37,86.51333333333332,0.9
겨울,대전 대덕구,79.1,4.57,69.2,77.05,80.75333333333333,0.87
겨울,광주 동구,78.5,4.89,71.14333333333333,69.46333333333332,89.95,0.81
겨울,전남 담양군,78.7,1.95,61.27,71.79666666666667,92.62666666666667,0.63
겨울,대구 서구,78.9,3.67,66.77666666666666,75.23666666666666,81.37,0.56
겨울,대구 남구,78.9,4.15,68.90666666666667,70.71666666666667,85.77333333333333,0.51
