signguCode,signguNm,date,표시점수,KTCI_원점수,날씨등급,코멘트,등급_기온,등급_습도,등급_바람,등급_강수,등급_대기질,AT_day,AT_night,HM_mean,WS_max,RN_day,RN_hr1,PM25,PM10,O3,NO2,SO2,CO
11110,종로구,2023-01-01,78.1,78.1,좋음,"실외 활동에 좋은 날씨예요 · 쌀쌀해요, 옷 챙기세요",해로움,적합,주의,적합,해로움,3.879,-6.809,54.5,8.114,0.0,0.0,36.97,52.234,0.032,0.025,0.004,0.675
11110,종로구,2023-01-02,82.3,82.3,좋음,"실외 활동에 좋은 날씨예요 · 쌀쌀해요, 옷 챙기세요",해로움,적합,적합,적합,적합,-0.432,-9.947,45.9,6.182,0.0,0.0,11.671,25.534,0.027,0.022,0.003,0.475
11110,종로구,2023-01-03,81.1,81.1,좋음,"실외 활동에 좋은 날씨예요 · 쌀쌀해요, 옷 챙기세요",해로움,적합,적합,적합,주의,0.489,-11.014,49.0,6.25,0.0,0.0,16.983,30.736,0.021,0.032,0.003,0.597
11110,종로구,2023-01-04,81.6,81.6,좋음,"실외 활동에 좋은 날씨예요 · 쌀쌀해요, 옷 챙기세요",해로움,적합,적합,적합,주의,3.357,-7.16,51.4,6.039,0.0,0.0,23.117,36.247,0.02,0.043,0.004,0.716
11110,종로구,2023-01-05,81.2,81.2,좋음,"실외 활동에 좋은 날씨예요 · 쌀쌀해요, 옷 챙기세요",해로움,적합,적합,적합,해로움,3.314,-6.276,58.1,4.314,0.0,0.0,36.083,50.298,0.009,0.054,0.004,0.946
11110,종로구,2023-01-06,70.8,70.8,좋음,"실외 활동에 좋은 날씨예요 · 쌀쌀해요, 옷 챙기세요",해로움,주의,적합,적합,해로움,5.386,-6.396,71.9,5.882,3.55,0.0,61.521,77.725,0.019,0.049,0.004,0.911
11110,종로구,2023-01-07,55.0,68.6,주의,"⚠️ 미세먼지 매우 나쁨, 마스크 착용 — 실외 활동에 주의하세요",해로움,해로움,적합,적합,위험,4.311,-3.223,80.9,6.671,0.057,0.0,89.602,120.404,0.03,0.031,0.003,0.963
11110,종로구,2023-01-08,75.0,75.0,좋음,실외 활동에 좋은 날씨예요 · 미세먼지 주의,해로움,주의,적합,적합,해로움,5.586,-4.468,69.3,4.154,0.0,0.0,58.944,131.286,0.019,0.038,0.003,0.866
11110,종로구,2023-01-09,79.4,79.4,좋음,실외 활동에 좋은 날씨예요 · 미세먼지 주의,해로움,주의,적합,적합,해로움,7.254,-3.053,60.1,6.768,0.0,0.0,40.406,93.473,0.026,0.033,0.004,0.688
11110,종로구,2023-01-10,82.7,82.7,좋음,실외 활동에 좋은 날씨예요,해로움,적합,적합,적합,주의,8.139,-4.371,59.9,3.921,0.0,0.0,33.452,62.129,0.021,0.046,0.004,0.777
11110,종로구,2023-01-11,80.8,80.8,좋음,실외 활동에 좋은 날씨예요 · 미세먼지 주의,해로움,주의,적합,적합,해로움,8.571,-2.907,61.9,4.15,0.0,0.0,48.582,75.299,0.009,0.062,0.004,1.022
11110,종로구,2023-01-12,82.1,82.1,좋음,실외 활동에 좋은 날씨예요 · 미세먼지 주의,해로움,적합,적합,적합,해로움,12.639,-1.945,46.6,4.4,0.0,0.0,44.727,65.947,0.011,0.057,0.004,0.929
11110,종로구,2023-01-13,60.6,60.6,무난,"실외 활동하기 무난해요 — 비 많음, 우산 필수",주의,위험,적합,주의,주의,9.6,3.291,99.1,6.693,31.868,0.0,13.506,21.878,0.013,0.038,0.004,0.753
