"","lawyer","punishment","month","demage","repeated","reflection","conceal","settlement","restitution","crime","outcome"
"1","lawyer","suspended",18,948638955,0,1,1,1,1,"breach",TRUE
"2","lawfirm","suspended",30,NA,0,0,1,0,0,"breach",NA
"3","lawyer","suspended",18,4.6e+07,0,1,1,0,0,"breach",FALSE
"4","lawfirm","imprisonment",24,NA,0,0,1,0,0,"breach",NA
"5","lawyer","suspended",72,569600000,0,0,1,0,0,"breach",FALSE
"6","lawyer","imprisonment",NA,46800000,0,0,1,0,0,"breach",NA
"7","lawfirm","imprisonment",NA,NA,0,0,1,0,0,"breach",NA
"8","lawfirm","suspended",24,687174550,0,0,1,0,0,"breach",TRUE
"9","lawyer","suspended",12,150375925,0,1,0,0,1,"breach",TRUE
"10","lawfirm","imprisonment",60,2.211e+09,0,0,1,0,0,"breach",FALSE
"11","lawfirm","suspended",36,4022483100,0,0,1,0,1,"breach",FALSE
"12","lawfirm","suspended",12,2035810,0,1,1,0,0,"breach",FALSE
"13","lawyer","suspended",6,1e+06,0,0,1,0,0,"breach",FALSE
"14","lawfirm","suspended",36,4999370000,0,1,1,0,1,"breach",FALSE
"15","lawyer","suspended",10,131540175,0,1,1,0,1,"breach",TRUE
"16","lawfirm","both",NA,5e+06,0,0,1,0,0,"breach",NA
"17","lawyer","both",NA,372136300,0,0,1,0,0,"breach",NA
"18","lawyer","suspended",NA,8e+09,0,0,1,0,1,"breach",NA
"19","lawfirm","suspended",12,75284671,0,0,1,0,1,"breach",FALSE
"20",NA,"suspended",12,479615000,0,1,1,0,0,"breach",TRUE
"21","lawyer","both",NA,NA,0,0,1,0,0,"breach",NA
"22","lawyer","imprisonment",NA,849121368,0,0,0,0,0,"breach",NA
"23","lawyer","suspended",18,3884545625,0,0,1,0,1,"breach",TRUE
"24","lawfirm","imprisonment",36,6188232232,0,0,1,1,1,"breach",TRUE
"25","lawfirm","imprisonment",42,1883700000,0,1,1,0,1,"breach",FALSE
"26","lawfirm","suspended",10,981475940,0,0,1,0,0,"breach",TRUE
"27","lawfirm","both",60,1.5e+08,0,0,1,0,0,"breach",FALSE
"28","lawyer","both",NA,350000,0,0,1,0,0,"breach",NA
"29","lawfirm","both",NA,NA,0,0,0,0,0,"breach",NA
"30","lawfirm","suspended",NA,NA,0,0,0,0,0,"breach",NA
"31","lawfirm","imprisonment",NA,9e+08,0,0,1,0,0,"breach",NA
"32","lawfirm","suspended",24,NA,0,1,1,0,0,"breach",NA
"33","lawfirm","suspended",42,57109181555,0,0,1,0,1,"breach",TRUE
"34","lawyer","imprisonment",NA,NA,0,0,1,0,0,"breach",NA
"35","lawfirm","suspended",NA,302911570,0,0,1,0,1,"breach",NA
"36","lawyer","imprisonment",NA,NA,0,0,1,0,0,"breach",NA
"37","lawfirm","both",NA,NA,0,0,1,0,0,"breach",NA
"38","lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"39","public","suspended",17,124695000,0,1,1,0,1,"breach",FALSE
"40","public","imprisonment",28,NA,1,1,1,1,1,"breach",NA
"41","lawfirm","suspended",72,569600000,0,0,1,0,0,"breach",FALSE
"42","lawfirm","suspended",8,NA,0,0,1,0,0,"breach",NA
"43","lawyer","suspended",8,46800000,0,0,1,0,0,"breach",FALSE
"44","lawyer","imprisonment",NA,NA,0,0,1,0,0,"breach",NA
"45","lawyer","suspended",NA,NA,0,0,1,0,0,"breach",NA
"46","lawfirm","suspended",48,5771358000,0,0,1,0,1,"breach",TRUE
"47","lawyer","both",NA,NA,0,0,1,0,0,"breach",NA
"48","lawfirm","imprisonment",216,NA,0,0,1,0,0,"breach",NA
"49","lawfirm","suspended",18,687174550,0,0,1,0,0,"breach",TRUE
"50","lawyer","imprisonment",NA,NA,0,0,1,0,0,"breach",NA
"51","lawfirm","imprisonment",NA,NA,0,0,1,0,0,"breach",NA
"52","lawfirm","imprisonment",NA,NA,0,0,1,0,0,"breach",NA
"53","lawfirm","suspended",72,20920767193,0,0,1,0,0,"breach",FALSE
"54","lawyer","imprisonment",30,6.55e+08,0,0,1,0,1,"breach",FALSE
"55","lawfirm","suspended",NA,NA,0,0,1,0,0,"breach",NA
"56","lawyer","both",NA,1.94e+09,0,0,1,0,0,"breach",NA
"57","lawfirm","suspended",NA,NA,0,0,0,0,0,"breach",NA
"58","lawfirm","both",NA,NA,0,0,1,0,0,"breach",NA
"59","lawfirm","suspended",NA,1576690656,0,0,1,0,0,"breach",NA
"60","lawfirm","suspended",NA,4.44e+10,0,0,1,0,0,"breach",NA
"61","lawyer","suspended",18,NA,0,0,1,0,0,"breach",NA
"62","lawyer","both",NA,NA,0,0,1,0,0,"breach",NA
"63","lawyer","imprisonment",NA,1e+07,0,0,1,0,0,"breach",NA
"64","lawfirm","suspended",12,31922000,0,0,1,0,0,"breach",FALSE
"65","lawfirm","suspended",60,NA,0,0,1,0,0,"breach",NA
"66","lawyer","suspended",76,105700000,0,0,1,0,0,"breach",FALSE
"67","lawyer","imprisonment",NA,1e+08,0,0,1,0,0,"breach",NA
"68","lawfirm","imprisonment",NA,3e+07,0,0,1,0,0,"breach",NA
"69","lawyer","suspended",10,NA,0,0,1,0,1,"breach",NA
"70","lawfirm","imprisonment",NA,NA,0,0,1,0,0,"breach",NA
"71","lawfirm","suspended",8,2.5e+08,0,0,0,0,1,"breach",TRUE
"72","lawfirm","suspended",12,2.4e+07,0,1,0,0,1,"breach",FALSE
"73","lawfirm","both",84,118120000,0,0,1,0,0,"breach",FALSE
"74",NA,"both",NA,NA,0,0,0,0,0,"breach",NA
"75","lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"76","lawfirm","suspended",12,3e+07,0,0,0,0,0,"breach",FALSE
"77","lawfirm","suspended",36,NA,0,1,0,0,1,"breach",NA
"78","lawfirm","suspended",12,NA,0,1,0,0,1,"breach",NA
"79","lawfirm","suspended",48,1.1e+10,0,0,1,0,1,"breach",TRUE
"80","lawfirm","suspended",4,NA,0,0,0,0,0,"breach",NA
"81","lawfirm","suspended",10,NA,0,0,1,0,0,"breach",NA
"82",NA,"both",NA,NA,0,0,0,0,0,"breach",NA
"83","lawfirm","suspended",36,3.2e+09,0,0,1,0,1,"breach",FALSE
"84","lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"85","lawfirm","imprisonment",24,3470766900,0,0,0,0,1,"breach",TRUE
"86","lawfirm","imprisonment",60,2.211e+09,0,0,1,0,0,"breach",FALSE
"87","lawfirm","suspended",6,5e+07,0,0,0,0,0,"breach",FALSE
"88","public","imprisonment",24,NA,0,1,0,0,0,"breach",NA
"89","lawfirm","suspended",12,NA,0,0,1,0,0,"breach",NA
"90","lawfirm","suspended",NA,NA,0,0,0,0,0,"breach",NA
"91","lawyer","imprisonment",72,3.45e+09,0,0,1,0,0,"breach",FALSE
"92","lawfirm","suspended",8,NA,0,0,0,0,0,"breach",NA
"93","lawyer","imprisonment",NA,NA,0,1,0,0,1,"breach",NA
"94","lawyer","suspended",8,6.3e+07,0,1,1,1,1,"breach",FALSE
"95","lawyer","suspended",60,1408552953,0,0,1,0,1,"breach",FALSE
"96","lawfirm","both",36,NA,0,0,0,0,0,"breach",NA
"97","lawfirm","suspended",24,22033500,0,0,1,0,0,"breach",FALSE
"98","lawfirm","both",84,NA,0,0,0,0,1,"breach",NA
"99","lawfirm","suspended",36,3e+09,1,0,0,0,0,"breach",FALSE
"100","lawfirm","suspended",60,2e+09,0,1,0,0,1,"breach",FALSE
"101","lawfirm","imprisonment",48,1923700000,0,1,1,0,1,"breach",FALSE
"102","lawyer","suspended",6,NA,0,0,0,0,0,"breach",NA
"103","lawfirm","suspended",42,5e+07,0,1,0,0,0,"breach",FALSE
"104","lawfirm","suspended",36,2.2e+09,0,0,1,1,1,"breach",FALSE
"105","lawfirm","both",NA,NA,0,0,0,0,0,"breach",NA
"106","public","suspended",6,NA,0,0,0,0,0,"breach",NA
"107","lawfirm","both",NA,NA,0,1,0,0,0,"breach",NA
"108","lawfirm","suspended",72,1.2e+08,0,0,0,0,0,"breach",FALSE
"109","lawfirm","suspended",NA,NA,0,0,0,0,0,"breach",NA
"110",NA,"imprisonment",NA,6e+07,0,0,0,0,0,"breach",NA
"111","lawfirm","suspended",NA,NA,0,0,0,0,0,"breach",NA
"112","lawyer","suspended",12,NA,0,0,0,0,0,"breach",NA
"113","lawfirm","suspended",24,NA,0,0,0,0,0,"breach",NA
"114","lawfirm","suspended",72,1.72e+08,0,0,0,0,1,"breach",FALSE
"115","public","suspended",20,201695000,0,1,0,1,1,"breach",FALSE
"116","lawfirm","both",NA,NA,0,0,0,0,0,"breach",NA
"117","lawfirm","suspended",24,4670000,0,0,0,0,0,"breach",FALSE
"118","lawfirm","suspended",8,NA,0,0,0,0,0,"breach",NA
"119","lawfirm","imprisonment",24,NA,0,0,1,0,0,"breach",NA
"120","lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"121","lawfirm","suspended",NA,NA,0,0,0,0,0,"breach",NA
"122","lawfirm","suspended",15,3e+05,0,0,0,0,0,"breach",FALSE
"123","public","imprisonment",14,NA,0,1,0,0,0,"breach",NA
"124","lawfirm","suspended",8,1e+07,0,0,1,0,0,"breach",FALSE
"125","lawfirm","both",24,1.93e+08,0,0,0,0,0,"breach",FALSE
"126","lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"127","lawfirm","both",18,4.75e+08,0,0,0,0,1,"breach",FALSE
"128","lawfirm","imprisonment",12,NA,0,0,1,0,0,"breach",NA
"129","lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"130","lawfirm","imprisonment",8,199756000,0,1,0,0,1,"breach",TRUE
"131","lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"132",NA,"imprisonment",12,406499920,0,1,0,0,0,"breach",TRUE
"133","lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"134","lawfirm","suspended",NA,NA,0,0,0,0,0,"breach",NA
"135","lawfirm","suspended",36,NA,0,1,1,0,1,"breach",NA
"136","lawfirm","imprisonment",6,3e+07,0,0,0,0,0,"breach",FALSE
"137","lawfirm","both",NA,NA,0,0,0,0,0,"breach",NA
"138","lawfirm","suspended",48,NA,0,0,1,0,0,"breach",NA
"139","lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"140","lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"141","lawfirm","suspended",6,4210000,0,0,0,0,0,"breach",FALSE
"142","lawfirm","suspended",120,2.4447e+12,0,0,1,0,0,"breach",FALSE
"143","public","suspended",8,479615000,0,1,1,0,1,"breach",TRUE
"144","lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"145","lawfirm","suspended",8,289200755,0,0,1,0,0,"breach",TRUE
"146","lawyer","suspended",24,1.1e+09,0,0,1,0,1,"breach",TRUE
"147","lawfirm","suspended",30,1.95e+09,0,0,1,1,1,"breach",FALSE
"148","lawfirm","suspended",18,1.474e+09,0,1,0,1,1,"breach",TRUE
"149","lawfirm","both",NA,NA,0,0,0,0,0,"breach",NA
"150","lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"151","lawfirm","suspended",NA,NA,0,0,0,0,1,"breach",NA
"152","lawfirm","suspended",6,5e+08,0,0,1,1,0,"breach",TRUE
"153","lawfirm","suspended",12,NA,0,0,0,0,1,"breach",NA
"154","lawfirm","suspended",6,11300865,0,0,1,0,0,"breach",FALSE
"155","lawyer","suspended",6,NA,0,1,0,0,0,"breach",NA
"156","lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"157","public","imprisonment",12,1.6e+08,0,1,0,0,0,"breach",TRUE
"158","lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach",NA
"159","lawyer","suspended",72,1.48e+08,0,1,0,0,1,"breach",FALSE
"160","lawyer","both",NA,NA,0,1,0,0,0,"breach",NA
