"","outcome....eda_fraud.outcome","lawyer","punishment","month","demage","repeated","reflection","conceal","settlement","restitution"
"1",TRUE,NA,NA,18,948638955,0,1,1,1,1
"2",NA,NA,NA,30,NA,0,0,1,0,0
"3",FALSE,"lawfirm","both",18,4.6e+07,0,1,1,0,0
"4",NA,NA,NA,24,NA,0,0,1,0,0
"5",FALSE,"lawfirm","imprisonment",72,569600000,0,0,1,0,0
"6",NA,"lawyer",NA,NA,46800000,0,0,1,0,0
"7",NA,"lawyer","imprisonment",NA,NA,0,0,1,0,0
"8",TRUE,"lawyer",NA,24,687174550,0,0,1,0,0
"9",FALSE,"lawyer","suspended",12,150375925,0,1,0,0,1
"10",FALSE,"lawyer","both",60,2.211e+09,0,0,1,0,0
"11",NA,"lawyer",NA,NA,NA,0,0,0,0,1
"12",FALSE,"lawyer","suspended",18,149814163,0,1,0,1,0
"13",NA,"lawfirm",NA,NA,4e+08,0,1,0,1,0
"14",FALSE,"lawfirm","both",36,4799302284,0,0,0,0,0
"15",TRUE,"lawyer","both",30,19472635690,0,1,0,1,0
"16",TRUE,"lawfirm","suspended",12,1174273492,0,0,0,0,0
"17",NA,"lawfirm",NA,NA,1.028e+09,0,0,0,1,1
"18",NA,"lawyer","suspended",6,NA,0,0,0,0,0
"19",FALSE,"lawfirm","imprisonment",108,4.903e+09,0,1,1,0,0
"20",FALSE,"lawfirm","suspended",62,5.35e+09,0,0,0,0,1
"21",NA,"lawfirm",NA,NA,5e+06,0,1,0,0,0
"22",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"23",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"24",NA,"lawfirm",NA,NA,198700000,0,0,0,0,0
"25",FALSE,"lawfirm","both",48,136300000,0,0,1,1,1
"26",NA,NA,NA,NA,NA,0,0,0,0,0
"27",FALSE,"lawfirm","both",48,46100000,0,0,0,0,0
"28",TRUE,"lawfirm","both",18,1.7e+09,0,0,0,0,0
"29",NA,"public","imprisonment",34,NA,1,0,0,0,0
"30",NA,"lawyer","imprisonment",20,NA,0,0,0,1,0
"31",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"32",FALSE,"public","suspended",34,5680000,1,0,0,0,0
"33",FALSE,"public","imprisonment",14,130000,1,0,0,1,0
"34",TRUE,"lawfirm","suspended",12,2.5e+09,0,0,0,0,0
"35",FALSE,"public","suspended",30,23123500,1,0,0,0,0
"36",FALSE,"lawyer","imprisonment",24,2.1e+08,0,0,0,0,0
"37",TRUE,"lawyer","both",30,6e+08,0,0,0,0,0
"38",NA,NA,NA,NA,NA,0,0,0,0,0
"39",NA,NA,NA,NA,NA,0,0,0,0,0
"40",NA,"lawyer","suspended",NA,1.1e+10,0,0,0,0,0
"41",FALSE,"lawfirm","both",24,93650000,0,0,0,0,0
"42",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0
"43",NA,"public","suspended",4,NA,0,1,0,0,0
"44",NA,"lawfirm","fine",NA,9862989,0,0,0,0,0
"45",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"46",NA,"lawyer","suspended",24,NA,0,0,0,0,0
"47",NA,"lawyer","both",NA,5e+07,0,0,0,0,0
"48",NA,"lawfirm","both",36,NA,0,0,0,0,0
"49",NA,"lawyer","imprisonment",180,NA,0,0,0,0,0
"50",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"51",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,0
"52",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"53",NA,"lawyer",NA,NA,1780000,0,0,0,0,0
"54",NA,NA,NA,NA,2e+05,0,0,0,0,0
"55",NA,NA,"fine",NA,18470704,0,0,0,0,0
"56",FALSE,"lawyer","imprisonment",18,8e+05,0,0,0,0,0
"57",NA,"lawyer","imprisonment",NA,7.5e+09,0,0,0,0,0
"58",TRUE,"lawyer","suspended",8,1.21e+08,0,0,0,0,0
"59",TRUE,"public","suspended",18,3101939295,0,1,0,1,0
"60",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"61",FALSE,"lawyer","suspended",84,22110000,0,1,0,0,0
"62",TRUE,"lawfirm","imprisonment",8,1.48e+08,0,1,0,1,0
"63",TRUE,"lawfirm","both",30,13785266130,0,1,0,0,1
"64",TRUE,"lawfirm","suspended",18,6.75e+09,0,0,0,1,1
"65",TRUE,"lawfirm","suspended",6,772635620,0,0,0,0,0
"66",FALSE,"lawfirm","suspended",6,9900000,0,0,0,1,0
"67",FALSE,"lawyer","suspended",36,2.603e+10,0,0,0,0,0
"68",FALSE,"lawfirm","suspended",18,448633200,0,0,0,0,0
"69",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"70",FALSE,"public","both",18,1e+07,0,0,0,0,0
"71",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"72",NA,"public","imprisonment",NA,NA,0,0,0,0,0
"73",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0
"74",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"75",FALSE,"lawyer","both",12,1.35e+08,0,0,0,1,1
"76",FALSE,"lawyer","suspended",60,1849509358,0,0,1,1,0
"77",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,1
"78",TRUE,"public","suspended",8,132900000,0,0,0,0,0
"79",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"80",NA,"lawyer","imprisonment",10,NA,0,0,0,0,0
"81",FALSE,"lawyer","imprisonment",42,2014003238,0,0,1,0,0
"82",NA,"lawfirm",NA,NA,3.454e+09,0,0,0,0,1
"83",NA,"lawyer",NA,NA,1200000,0,0,0,0,0
"84",FALSE,"public","both",8,2.1e+07,0,1,0,0,0
"85",TRUE,NA,"imprisonment",10,1e+08,0,0,0,0,0
"86",NA,"lawyer","suspended",6,NA,0,0,0,0,0
"87",FALSE,"lawyer","suspended",6,5e+07,0,1,0,1,1
"88",FALSE,"lawyer","suspended",60,4698000008,0,0,1,0,0
"89",NA,"lawyer","both",NA,NA,0,1,0,0,0
"90",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"91",NA,"lawfirm","imprisonment",NA,5e+09,0,0,0,1,0
"92",NA,"lawyer","suspended",NA,10673280,0,0,0,0,0
"93",TRUE,"lawfirm","suspended",24,1123900000,0,1,0,0,0
"94",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,0
"95",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"96",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"97",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"98",FALSE,"public","imprisonment",48,1.37e+10,1,0,0,0,0
"99",NA,"lawfirm","both",180,NA,0,0,0,0,0
"100",FALSE,"public","imprisonment",8,6e+05,0,0,0,1,0
"101",FALSE,"public","both",18,91200000,0,0,0,0,0
"102",NA,NA,"imprisonment",10,NA,0,0,0,0,0
"103",TRUE,"lawfirm","suspended",8,5.4e+08,0,0,0,1,0
"104",NA,"lawyer","both",14,NA,1,0,0,0,0
"105",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0
"106",FALSE,"public","imprisonment",18,2e+08,0,0,0,0,0
"107",FALSE,"lawfirm","suspended",36,31784292307,0,0,1,0,1
"108",FALSE,"lawyer","both",120,4e+09,0,0,0,0,0
"109",TRUE,"lawfirm","both",30,2.369e+09,0,0,0,0,0
"110",NA,"public",NA,NA,NA,0,0,0,0,0
"111",FALSE,"public","both",8,3.8e+07,0,0,0,1,1
"112",FALSE,"public","imprisonment",18,1e+08,1,0,0,0,0
"113",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"114",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0
"115",NA,"lawfirm","suspended",NA,NA,0,0,1,0,0
"116",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,1
"117",NA,"lawfirm","imprisonment",NA,NA,0,0,1,0,0
"118",TRUE,NA,"suspended",12,1e+09,0,0,0,0,1
"119",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"120",FALSE,"lawfirm","suspended",24,163244440,0,0,0,0,0
"121",FALSE,"lawfirm","both",36,7.2e+09,0,0,0,1,0
"122",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0
"123",NA,"lawfirm",NA,NA,9e+06,0,0,0,0,0
"124",NA,"lawfirm",NA,NA,3101939295,0,1,0,0,0
"125",NA,"lawyer",NA,NA,5e+07,0,0,0,0,0
"126",NA,"lawyer","suspended",30,NA,0,1,0,0,0
"127",NA,"lawyer","suspended",28,NA,0,0,0,0,0
"128",NA,"lawfirm",NA,NA,46866593,0,0,0,0,0
"129",FALSE,"lawfirm","both",36,3e+08,0,0,0,1,0
"130",FALSE,"lawfirm","suspended",36,258052791,0,1,0,0,0
"131",FALSE,"lawyer","suspended",24,3e+08,0,0,0,0,0
"132",NA,"lawfirm",NA,NA,1e+08,0,0,0,0,0
"133",FALSE,"lawfirm","suspended",36,1074246510,0,0,1,0,0
"134",NA,"lawfirm",NA,NA,9.8e+08,0,0,0,0,0
"135",NA,"lawyer",NA,NA,61063965,0,0,0,0,0
"136",FALSE,"lawfirm","imprisonment",120,71816780000,0,0,0,0,0
"137",FALSE,"lawfirm","both",48,891210000,0,1,0,0,0
"138",FALSE,"lawyer","imprisonment",36,547600000,0,0,0,0,0
"139",FALSE,"lawfirm","suspended",12,4696000,0,1,0,0,0
"140",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"141",FALSE,"lawfirm","suspended",42,831600000,0,0,0,0,0
"142",NA,"lawyer","imprisonment",84,NA,1,0,0,1,0
"143",FALSE,"public","both",24,5.6e+07,0,0,0,0,0
"144",TRUE,"lawyer","both",8,1.35e+08,0,0,1,1,0
"145",NA,"public","suspended",16,NA,0,1,0,1,0
"146",NA,"lawyer","suspended",12,NA,0,1,0,0,0
"147",FALSE,"lawfirm","both",144,7.54e+10,1,0,0,0,0
"148",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"149",NA,"lawyer",NA,NA,NA,0,0,0,0,1
"150",FALSE,"lawfirm","suspended",48,1849509358,0,0,1,1,1
"151",FALSE,"lawfirm","suspended",12,650000,0,0,0,0,0
"152",FALSE,"lawfirm","suspended",12,650000,0,0,0,0,0
"153",FALSE,"lawyer","suspended",6,30563730,0,0,0,0,0
"154",FALSE,"lawyer","imprisonment",48,2014003238,0,0,0,0,0
"155",NA,"lawyer","imprisonment",NA,5.75e+08,0,0,0,0,0
"156",TRUE,"lawfirm","imprisonment",18,5.35e+09,0,0,0,0,0
"157",FALSE,NA,"suspended",6,4e+07,0,0,0,0,0
"158",FALSE,"lawfirm","imprisonment",36,4799302284,0,0,0,0,0
"159",TRUE,"lawfirm","suspended",4,29997718,0,1,0,0,1
"160",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"161",NA,"lawyer","imprisonment",48,NA,0,0,0,0,0
"162",FALSE,"public","imprisonment",12,1e+08,0,0,0,1,0
"163",NA,"public","fine",NA,NA,0,0,0,0,0
"164",FALSE,"lawfirm","suspended",72,111781141,0,0,0,0,1
"165",NA,"public","fine",NA,NA,0,0,0,0,0
"166",NA,"lawfirm",NA,NA,1475368000,0,1,0,0,0
"167",FALSE,"lawfirm","both",18,211601030,0,0,0,0,0
"168",FALSE,NA,"imprisonment",10,6.1e+07,0,0,0,0,0
"169",NA,"public","imprisonment",12,NA,0,0,0,0,0
"170",FALSE,"lawfirm","both",42,1e+10,0,1,1,0,1
"171",NA,"lawfirm","both",NA,NA,0,0,0,0,0
"172",NA,"lawyer","both",NA,NA,0,0,1,0,0
"173",FALSE,"lawfirm","suspended",48,5217684306,0,1,1,0,1
"174",NA,"lawfirm",NA,NA,1.62e+08,0,0,0,0,0
"175",NA,"lawyer","imprisonment",NA,NA,0,0,0,1,0
"176",NA,"lawyer",NA,NA,3808610,0,0,0,0,0
"177",NA,NA,NA,NA,NA,0,0,0,0,0
"178",FALSE,"lawfirm","both",12,261200000,0,0,1,0,0
"179",FALSE,"lawyer","suspended",30,4.5e+07,0,0,0,0,0
"180",FALSE,"lawfirm","imprisonment",96,71816780000,0,0,0,0,0
"181",TRUE,"lawfirm","imprisonment",8,1.5e+09,0,0,0,0,0
"182",NA,"lawyer","imprisonment",NA,5e+06,0,0,0,0,0
"183",TRUE,"lawfirm","both",14,6e+08,0,0,0,0,0
"184",FALSE,"public","suspended",36,3e+08,0,1,0,1,0
"185",FALSE,"public","both",24,289120000,0,0,0,0,0
"186",NA,NA,NA,NA,NA,0,0,0,0,0
"187",FALSE,"lawfirm","suspended",15,4.7e+08,0,1,0,0,0
"188",FALSE,"lawfirm","imprisonment",48,2467074140,0,1,0,0,0
"189",TRUE,"lawfirm","suspended",30,1.1e+09,0,1,0,1,0
"190",NA,"lawfirm",NA,NA,2.5e+08,0,0,0,0,0
"191",TRUE,"lawfirm","suspended",30,1.273e+11,0,0,1,0,0
"192",FALSE,"lawyer","imprisonment",36,17915083700,0,0,0,0,0
"193",NA,"lawfirm","imprisonment",NA,831600000,0,0,0,0,0
"194",NA,"lawfirm",NA,NA,11629255934,0,0,0,0,0
"195",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"196",NA,"lawfirm",NA,NA,2e+09,0,0,0,0,0
"197",NA,"lawfirm","fine",NA,1e+08,0,0,0,0,0
"198",FALSE,"public","suspended",6,3e+07,0,0,0,0,0
"199",TRUE,"lawfirm","suspended",8,7.35e+08,0,0,0,0,0
"200",NA,"lawfirm","imprisonment",NA,1107983180,0,0,0,0,0
"201",NA,"lawfirm",NA,NA,122233535248,0,0,0,1,0
"202",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"203",NA,"lawfirm",NA,NA,3.5e+09,0,0,0,0,0
"204",FALSE,"lawyer","suspended",90,1.1e+08,0,0,0,0,0
"205",FALSE,"lawfirm","both",8,1500000,0,1,0,1,0
"206",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"207",FALSE,"lawfirm","suspended",6,5.3e+07,0,0,0,0,0
"208",TRUE,"public","suspended",10,6e+08,0,1,0,1,1
"209",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0
"210",TRUE,"lawfirm","suspended",30,19773830000,0,0,0,0,0
"211",NA,"lawyer","suspended",NA,3e+06,0,0,0,0,0
"212",NA,"lawfirm","imprisonment",24,NA,0,0,0,0,0
"213",FALSE,"lawfirm","suspended",6,14853000,0,0,0,0,0
"214",NA,"lawfirm","suspended",NA,3.6e+09,0,0,0,1,0
"215",NA,"lawyer","fine",NA,8.4e+09,0,0,0,0,0
"216",FALSE,"lawfirm","suspended",36,8e+08,0,0,0,0,0
"217",NA,"public","both",14,NA,1,1,0,0,0
"218",FALSE,"lawyer","both",48,145625000,0,1,1,0,0
"219",FALSE,"public","both",18,1.5e+07,0,1,0,1,0
"220",NA,"lawfirm","both",NA,5217684306,0,0,0,0,0
"221",FALSE,"lawyer","both",60,419021300,0,1,1,0,1
"222",NA,"lawfirm","suspended",NA,NA,0,0,0,0,0
"223",NA,"lawyer","suspended",12,NA,0,0,0,0,0
"224",NA,"lawyer",NA,NA,NA,0,0,1,0,0
"225",NA,"lawfirm",NA,NA,2578378320,0,0,0,0,0
"226",NA,"lawyer",NA,NA,NA,0,0,0,0,0
"227",FALSE,"lawfirm","imprisonment",144,5.25e+08,0,1,1,1,0
"228",TRUE,"lawfirm","suspended",12,793350520,0,0,0,0,0
"229",NA,NA,NA,NA,NA,0,0,0,0,0
"230",FALSE,"lawyer","suspended",6,3e+06,0,0,0,1,1
"231",NA,"lawfirm","imprisonment",NA,5.4e+07,0,0,0,0,0
"232",FALSE,"lawfirm","suspended",204,5.25e+08,0,0,1,1,0
"233",NA,"lawfirm","suspended",60,NA,0,0,0,1,0
"234",NA,"lawfirm","suspended",16,NA,0,0,0,0,0
"235",NA,"public",NA,NA,NA,0,0,0,0,0
"236",NA,"lawfirm",NA,NA,NA,0,0,0,0,0
"237",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0
