precedent_id,case_number,case_name,court_name,decision_date_iso,crime_name,sex_type,lawyer,punishment,guilty,year,injury_weeks,reduced,outcome,minor_victim,relative,special,distribute,habit_flag,agree,reflection,first_offender,same_record,recovery,conceal,deny
618465,2025노137,간음유인·미성년자의제강간·실종아동등의보호및지원에관한법률위반,서울고등법원(춘천),2025-11-05,미성년자의제강간,rape,lawfirm,suspended,Guilty,3.0,,reduced,True,1,1,0,0,0,1,1,1,0,1,1,0
619409,2025노31,강제추행,서울고등법원,2025-09-18,강제추행,indecent,lawyer,fine,Guilty,,,,False,1,0,0,0,0,0,0,1,0,0,0,0
605579,2023노249,성폭력범죄의처벌등에관한특례법위반(강간등치상)·마약류관리에관한법률위반(향정),서울고등법원,2023-07-11,"성폭력범죄의처벌등에관한특례법위반(강간등치상), 마약류관리에관한법률위반",rape,lawfirm,imprisonment,Guilty,5.0,,normal,False,1,0,0,0,0,0,0,1,0,0,0,0
605577,2022고합92,성폭력범죄의처벌등에관한특례법위반(강간등치상)·마약류관리에관한법률위반(향정),서울중앙지방법원,2023-01-12,"성폭력범죄의처벌등에관한특례법위반(강간치상), 마약류관리에관한법률위반(향정)",rape,lawfirm,imprisonment,Guilty,6.0,,normal,False,1,0,1,0,0,1,1,1,0,0,0,0
219875,2021노802,주거침입·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·상해,울산지법,2021-11-05,성폭력범죄의 처벌 등에 관한 특례법 위반(카메라등이용촬영),camera,lawfirm,fine,Guilty,,,,False,1,0,0,0,0,0,0,0,0,0,0,0
223475,2020고단2650,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),의정부지방법원 고양지원,2020-12-17,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),camera,lawfirm,suspended,Guilty,1.0,,reduced,True,1,0,0,1,0,0,0,0,0,0,0,0
213173,2020노166,성폭력범죄의처벌등에관한특례법위반(친족관계에의한준강간),수원고등법원,2020-07-16,성폭력범죄의처벌등에관한특례법위반(친족관계에의한강간),rape,public,both,Guilty,7.0,,aggravated,False,0,0,0,0,0,0,1,1,0,0,0,0
225269,2018고합92,성폭력범죄의처벌등에관한특례법위반(특수강제추행)(인정된죄명:강제추행),대구지방법원 경주지원,2019-06-20,강제추행,indecent,lawyer,fine,Guilty,,,,False,1,0,1,0,0,1,1,0,0,0,0,0
225019,"2018고합197, 2018전고36(병합)",성폭력범죄의처벌등에관한특례법위반(친족관계에의한강간)·성폭력범죄의처벌등에관한특례법위반(친족관계에의한강제추행)·아동·청소년의성보호에관한법률위반(강간)·아동·청소년의성보호에관한법률위반(유사성행위)·부착명령,청주지방법원,2019-01-18,강간,rape,lawfirm,imprisonment,Guilty,7.0,,normal,False,1,1,0,0,0,1,1,1,0,0,0,0
224989,2018고단7802,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·협박·성폭력범죄의처벌등에관한특례법위반(통신매체이용음란)·정보통신망이용촉진및정보보호등에관한법률위반,인천지방법원,2019-01-09,불법촬영,camera,public,suspended,Guilty,0.8333333333333334,,reduced,True,1,0,0,1,0,0,1,1,0,0,0,0
