"","lawyer","punishment","month","demage","repeated","reflection","conceal","settlement","restitution"
"1","public","imprisonment",36,NA,1,1,0,1,1
"2","public","suspended",18,1260000,1,1,0,0,0
"3","lawyer","suspended",8,NA,0,0,1,0,1
"4","lawyer","imprisonment",NA,6000,1,0,0,0,0
"5","public","imprisonment",12,NA,1,1,0,0,0
"6","public","suspended",24,NA,1,1,0,0,0
"7","lawyer","imprisonment",NA,NA,0,0,0,0,0
"8","lawyer","suspended",60,111360900,1,0,0,0,0
"9","public","suspended",24,NA,1,0,1,1,1
"10","lawyer","imprisonment",NA,NA,0,0,0,0,0
"11","public","imprisonment",7,5200,1,1,0,0,0
"12","public","imprisonment",8,5200,1,1,0,0,0
"13","lawyer","suspended",NA,29700000,1,0,0,0,0
"14","lawyer","imprisonment",NA,NA,1,0,0,0,0
"15","public","imprisonment",10,260000,1,1,0,0,0
"16","lawyer","imprisonment",NA,NA,1,0,0,0,0
"17","lawyer","imprisonment",NA,NA,0,0,0,0,0
"18","lawfirm","imprisonment",60,1637083700,0,1,1,0,1
"19","public","imprisonment",48,8404000,1,1,0,1,0
"20","lawyer","imprisonment",NA,NA,0,0,0,0,0
"21","lawfirm","imprisonment",NA,NA,0,0,0,0,0
"22","public","suspended",12,29700000,1,1,0,1,0
"23","lawyer","suspended",12,NA,0,1,0,0,0
"24","lawyer","imprisonment",NA,1637083700,0,1,1,0,1
"25","public","imprisonment",48,8404000,1,1,0,1,0
"26","public","suspended",6,189800,0,1,1,1,1
"27","lawyer","imprisonment",NA,NA,1,0,0,0,0
"28","public","imprisonment",8,509000,0,1,0,0,1
"29","lawyer","imprisonment",NA,NA,0,0,0,0,0
