"","outcome","lawyer","punishment","month","demage","repeated","reflection","conceal","settlement","restitution","crime"
"1",1,NA,NA,18,948638955,0,1,1,1,1,"fraud"
"2",NA,NA,NA,30,NA,0,0,1,0,0,"fraud"
"3",0,"lawfirm","both",18,4.6e+07,0,1,1,0,0,"fraud"
"4",NA,NA,NA,24,NA,0,0,1,0,0,"fraud"
"5",0,"lawfirm","imprisonment",72,569600000,0,0,1,0,0,"fraud"
"6",NA,"lawyer",NA,NA,46800000,0,0,1,0,0,"fraud"
"7",NA,"lawyer","imprisonment",NA,NA,0,0,1,0,0,"fraud"
"8",1,"lawyer",NA,24,687174550,0,0,1,0,0,"fraud"
"9",0,"lawyer","suspended",12,150375925,0,1,0,0,1,"fraud"
"10",0,"lawyer","both",60,2.211e+09,0,0,1,0,0,"fraud"
"11",NA,"lawyer",NA,NA,NA,0,0,0,0,1,"fraud"
"12",0,"lawyer","suspended",18,149814163,0,1,0,1,0,"fraud"
"13",NA,"lawfirm",NA,NA,4e+08,0,1,0,1,0,"fraud"
"14",0,"lawfirm","both",36,4799302284,0,0,0,0,0,"fraud"
"15",1,"lawyer","both",30,19472635690,0,1,0,1,0,"fraud"
"16",1,"lawfirm","suspended",12,1174273492,0,0,0,0,0,"fraud"
"17",NA,"lawfirm",NA,NA,1.028e+09,0,0,0,1,1,"fraud"
"18",NA,"lawyer","suspended",6,NA,0,0,0,0,0,"fraud"
"19",0,"lawfirm","imprisonment",108,4.903e+09,0,1,1,0,0,"fraud"
"20",0,"lawfirm","suspended",62,5.35e+09,0,0,0,0,1,"fraud"
"21",NA,"lawfirm",NA,NA,5e+06,0,1,0,0,0,"fraud"
"22",NA,"lawyer",NA,NA,NA,0,0,0,0,0,"fraud"
"23",NA,"lawyer",NA,NA,NA,0,0,0,0,0,"fraud"
"24",NA,"lawfirm",NA,NA,198700000,0,0,0,0,0,"fraud"
"25",0,"lawfirm","both",48,136300000,0,0,1,1,1,"fraud"
"26",NA,NA,NA,NA,NA,0,0,0,0,0,"fraud"
"27",0,"lawfirm","both",48,46100000,0,0,0,0,0,"fraud"
"28",1,"lawfirm","both",18,1.7e+09,0,0,0,0,0,"fraud"
"29",NA,"public","imprisonment",34,NA,1,0,0,0,0,"fraud"
"30",NA,"lawyer","imprisonment",20,NA,0,0,0,1,0,"fraud"
"31",NA,"lawfirm",NA,NA,NA,0,0,0,0,0,"fraud"
"32",0,"public","suspended",34,5680000,1,0,0,0,0,"fraud"
