shot_id,match_id,team,opponent,player,period,minute,second,shot_x,shot_y,shot_dist_to_goal_m,xg,outcome,is_goal,shot_type,body_part,first_time,under_pressure,play_pattern,attack_start_x,attack_start_y,attack_start_type,attack_duration_s,n_pass,n_carry,x_progression,goal_dist_gain,progression_speed,last_pass_type,last_pass_x,last_pass_y,attack_path,has_360_frame,n_tracked_360,n_defenders_ff,nearest_def_dist_m,def_within_1m,def_within_2m,def_within_3m,def_in_box,def_between_ball_goal,teammates_in_box,gk_x,gk_y,gk_dist_from_goalline_m,gk_lateral_offset_m,attack_type
473df22f-d159-4416-a5ce-62838698ea12,3857276,Canada,Morocco,Mark Anthony Kaye,1,2,5,96.5,40.7,21.5,0.038882375,Blocked,0,Open Play,Left Foot,True,True,Regular Play,69.3,13.7,Pass,11,3,2,27.2,33.6,2.47,cutback,103.1,51.1,half_space,True,20,11,0.94,1,1,2,8,3,4,118.5,39.1,1.37,0.82,cutback
13b63722-8099-4cdf-818a-d2df3036a633,3857276,Morocco,Canada,Hakim Ziyech,1,3,29,83.9,45.0,33.32,0.024477394,Goal,1,Open Play,Left Foot,True,False,From Throw In,87.0,4.7,Pressure,46,1,0,-3.1,11.9,-0.07,,,,central,True,8,6,10.68,0,0,0,0,1,0,96.0,39.2,21.95,0.73,other
19f400ea-038a-458b-a26a-2a6137a71583,3857276,Morocco,Canada,Abdelhamid Sabiri,1,8,18,86.8,38.4,30.39,0.02207015,Blocked,0,Free Kick,Right Foot,False,False,From Free Kick,86.8,38.4,Shot,0,0,0,0.0,0.0,,,,,central,True,20,11,9.05,0,0,0,1,4,0,119.0,41.3,0.91,1.19,set_piece
06924724-9654-4c47-a906-2e4c55b1155f,3857276,Morocco,Canada,Sofiane Boufal,1,9,9,107.0,48.3,14.1,0.06158555,Wayward,0,Open Play,Left Foot,False,False,From Corner,120.0,80.0,Pass,4,0,1,-13.0,24.6,-3.25,,,,central,True,18,10,1.12,0,1,1,9,4,5,118.9,42.0,1.01,1.83,other
ac8b083c-950f-4978-8497-8f60b4b4fe6d,3857276,Canada,Morocco,Tajon Buchanan,1,14,7,113.3,34.9,7.7,0.27914461,Off T,0,Open Play,Right Foot,True,False,From Counter,16.1,69.7,Pass,12,4,5,97.2,99.6,8.1,central_pass,100.8,61.9,half_space,False,0,7,3.21,0,0,0,5,1,1,116.4,37.6,3.29,2.19,fast_counter
5c5a5090-a0eb-47cf-bc78-fd124cb45f43,3857276,Morocco,Canada,Hakim Ziyech,1,15,6,97.5,54.0,24.23,0.022624016,Off T,0,Open Play,Left Foot,False,False,From Goal Kick,7.0,44.1,Pass,31,10,9,90.5,86.6,2.92,central_pass,39.4,39.2,central,True,12,8,1.93,0,1,1,6,1,3,118.5,42.6,1.37,2.38,central_penetration
fa3e211a-da39-4edb-af18-f1c34dd09874,3857276,Morocco,Canada,Youssef En-Nesyri,1,22,36,107.6,53.2,16.56,0.10405799,Goal,1,Open Play,Right Foot,False,False,From Throw In,63.3,80.0,Pass,24,6,6,44.3,51.3,1.85,through_ball,39.0,79.2,wide,True,5,4,0.91,1,1,2,3,1,0,117.0,43.7,2.74,3.38,central_penetration
c250176b-5f51-4bfc-8fb0-5ecb47352fe2,3857276,Morocco,Canada,Abdelhamid Sabiri,1,32,45,107.9,34.2,12.27,0.09711841,Blocked,0,Open Play,Right Foot,True,False,Regular Play,27.6,29.0,Duel,29,10,9,80.3,79.6,2.77,central_pass,104.2,41.3,central,True,13,8,1.27,0,1,1,8,3,2,118.1,37.9,1.74,1.92,central_penetration
650fa4d8-6a8d-4340-a0e2-1268ca085d4b,3857276,Morocco,Canada,Youssef En-Nesyri,1,47,18,106.8,46.7,13.54,0.094470315,Wayward,0,Open Play,Right Foot,True,False,From Free Kick,80.9,75.7,Pass,3,0,0,25.9,38.1,8.63,,,,central,True,15,10,4.0,0,0,0,9,2,4,119.0,42.1,0.91,1.92,other
4d310ca7-0c38-46f7-8d2d-2b695968dd56,3857276,Canada,Morocco,Alphonso Davies,2,57,6,105.1,41.2,13.67,0.051903803,Off T,0,Open Play,Left Foot,True,False,Regular Play,39.8,33.8,Duel,11,3,3,65.3,65.5,5.94,cross,96.1,68.4,wide,True,10,6,2.33,0,0,1,6,2,1,117.9,41.5,1.92,1.37,fast_counter
fffd8564-9064-427c-900c-f59a8163f4ca,3857276,Canada,Morocco,Atiba Hutchinson,2,70,55,112.2,37.7,7.44,0.086874224,Post,0,Open Play,Head,False,True,From Corner,120.0,80.0,Pass,2,1,0,-7.8,31.9,-3.9,cutback,120.0,80.0,wide,True,18,11,0.55,1,3,3,10,1,5,116.7,38.8,3.02,1.1,cutback
c8a3baeb-6a18-4b13-a1ba-07bd5b1f9bc5,3857276,Canada,Morocco,Alistair Johnston,2,70,57,118.8,41.6,1.83,0.638813,Off T,0,Open Play,Head,False,True,From Corner,120.0,80.0,Pass,4,1,0,-1.2,38.0,-0.3,,,,central,True,15,9,0.52,1,3,4,9,1,5,120.0,39.3,0.0,0.64,other
4f45c801-4bd5-448e-b985-5d23fd737fbd,3857271,England,Iran,Harry Maguire,1,7,15,115.4,29.4,10.57,0.23307544,Off T,0,Open Play,Left Foot,True,False,From Free Kick,73.9,55.6,Pass,4,1,1,41.5,37.1,10.38,,,,half_space,True,17,11,3.56,0,0,0,10,0,3,115.8,38.8,3.84,1.1,fast_counter
743254c2-073c-4f7b-a0af-c0a6304c36d5,3857271,England,Iran,Bukayo Saka,1,26,58,101.1,55.3,22.24,0.028282227,Saved,0,Open Play,Left Foot,False,False,Regular Play,63.3,17.7,Interception,9,1,2,37.8,36.6,4.2,central_pass,85.9,20.9,half_space,True,16,10,2.01,0,0,2,7,2,2,117.7,41.9,2.1,1.74,central_penetration
8f88956e-94ff-460b-afdd-570963d6759a,3857271,England,Iran,Mason Mount,1,29,8,113.4,49.1,10.28,0.06697492,Off T,0,Open Play,Right Foot,True,False,From Free Kick,47.9,69.0,Pass,66,21,19,65.5,66.5,0.99,cross,113.6,68.0,wide,True,15,10,1.13,0,1,1,7,1,2,117.6,43.8,2.19,3.47,wide_cross
e32629f1-a105-440c-8bfa-fdfebd076f4a,3857271,England,Iran,Harry Maguire,1,31,47,110.5,40.7,8.71,0.06988547,Post,0,Open Play,Head,False,True,From Corner,120.0,80.0,Pass,2,1,0,-9.5,30.5,-4.75,cutback,120.0,80.0,wide,True,18,11,0.78,1,1,1,9,1,4,119.0,39.8,0.91,0.18,cutback
09a3d7a3-983e-4c01-a8c1-2b1db7169647,3857271,England,Iran,Jude Bellingham,1,34,9,112.0,38.0,7.54,0.08285139,Goal,1,Open Play,Head,False,True,Regular Play,18.6,65.8,Pass,68,17,14,93.4,96.4,1.37,cross,109.9,6.6,wide,True,15,9,0.93,1,2,2,9,2,4,117.0,38.7,2.74,1.19,wide_cross
c9bdb7ab-5b37-4fea-a46b-5969a3563175,3857271,England,Iran,Bukayo Saka,1,42,46,104.1,38.5,14.6,0.061030492,Goal,1,Open Play,Left Foot,True,False,From Corner,120.0,0.1,Pass,3,2,0,-15.9,23.9,-5.3,cutback,107.0,47.4,central,True,19,11,1.58,0,1,1,10,4,5,117.8,39.9,2.01,0.09,cutback
d47018bb-61d6-425b-ab3c-fa5982a27e05,3857271,England,Iran,Raheem Sterling,1,45,17,111.0,42.8,8.62,0.1885282,Goal,1,Open Play,Right Foot,True,False,Regular Play,45.8,23.0,Ball Recovery,27,7,8,65.2,66.7,2.41,cross,107.2,61.9,half_space,True,10,7,2.43,0,0,1,6,1,1,118.1,41.7,1.74,1.55,wide_cross
eb275892-7c32-45cf-b985-aaaa70f0abe3,3857271,Iran,England,Alireza Jahanbakhsh,1,55,4,106.4,48.8,14.81,0.11232807,Off T,0,Open Play,Right Foot,True,False,Regular Play,64.5,42.4,Ball Recovery,9,2,2,41.9,39.4,4.66,cross,102.6,13.2,wide,True,11,7,4.04,0,0,0,7,1,2,117.9,42.4,1.92,2.19,fast_counter
be726f9e-21ea-4db2-b188-92a93bf619c8,3857271,England,Iran,Kieran Trippier,2,50,11,93.9,27.7,26.38,0.042866398,Blocked,0,Free Kick,Right Foot,False,False,From Free Kick,93.9,27.7,Shot,0,0,0,0.0,0.0,,,,,half_space,True,20,11,8.23,0,0,0,11,4,4,119.1,40.3,0.82,0.27,set_piece
f756b2e3-e4d6-4732-af47-f7a7b53bbe18,3857271,England,Iran,Luke Shaw,2,58,56,97.9,25.1,24.37,0.021548782,Blocked,0,Open Play,Left Foot,True,False,From Free Kick,38.7,17.3,Pass,24,8,6,59.2,57.8,2.47,,,,half_space,True,14,9,3.81,0,0,0,5,3,2,116.7,37.8,3.02,2.01,slow_possession
e71b5d22-1492-45e0-b17a-e377d30e6cf4,3857271,Iran,England,Saeid Ezatolahi Afagh,2,60,16,83.8,35.5,33.36,0.0065368367,Off T,0,Open Play,Right Foot,False,False,Regular Play,57.5,16.5,Pass,8,2,2,26.3,30.3,3.29,central_pass,85.0,35.5,central,True,16,10,7.78,0,0,0,1,1,0,117.6,39.8,2.19,0.18,central_penetration
828aa0c6-95dc-422f-aaa5-fd201e3a5ad9,3857271,England,Iran,Bukayo Saka,2,61,26,105.3,46.3,14.62,0.080026746,Goal,1,Open Play,Left Foot,False,False,Regular Play,57.4,16.4,Pass,11,2,4,47.9,50.9,4.35,,,,central,True,13,8,2.21,0,0,1,7,2,3,116.0,42.3,3.66,2.1,fast_counter
4e3dddd6-1001-4bca-a950-fe89f59cea25,3857271,Iran,England,Mehdi Taremi,2,64,33,109.7,48.0,11.93,0.065701395,Goal,1,Open Play,Right Foot,True,True,From Throw In,97.9,80.0,Pass,18,6,4,11.8,32.7,0.66,central_pass,99.0,61.7,half_space,True,16,10,1.12,0,1,2,6,1,2,116.7,43.8,3.02,3.47,central_penetration
